set,kind,serial,handle,aka,tier,code,figure_sha256,jersey_mask_sha256,app_front,pdf,review
34-2026-2,guest,34-GUEST-13,Guest 13,,Guest,B35433,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-14,Guest 14,,Guest,4B8C26,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-15,Guest 15,,Guest,1771A2,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-16,Guest 16,,Guest,F2D5E5,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-17,Guest 17,,Guest,E2C88C,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-18,Guest 18,,Guest,DD7005,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-19,Guest 19,,Guest,40FB04,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-20,Guest 20,,Guest,6701D9,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-21,Guest 21,,Guest,F1C044,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-22,Guest 22,,Guest,1564A8,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-23,Guest 23,,Guest,3318D9,,,,cards_34-2026-2_guest.pdf,card-review-45
34-2026-2,guest,34-GUEST-24,Guest 24,,Guest,16411B,,,,cards_34-2026-2_guest.pdf,card-review-45
